Date,Price,Open,High,Low,Vol.,Change %,Symbol,Nltk_Sentiment,FinBERT_Sentiment,Subjectivity_avg,Polarity_avg,PriceSP500,OpenSP500,HighSP500,LowSP500,Change%SP500
2024-03-28,22430.0,22100.0,22540.0,21950.0,1.33M,1.49%,E1VFVN30,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,30850.0,30840.0,31080.0,30830.0,663.70K,0.03%,ETF,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,7500.0,7310.0,7500.0,7310.0,0.30K,2.74%,FUEIP100,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,15470.0,15390.0,15470.0,15270.0,5.50K,1.24%,FUEMAV30,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,15910.0,16000.0,16050.0,15900.0,30.40K,0.82%,FUESSV30,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,18200.0,18150.0,18500.0,17810.0,8.90K,0.44%,FUESSV50,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,21360.0,21500.0,21530.0,21100.0,916.80K,1.57%,FUESSVFL,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-28,17500.0,17300.0,17500.0,17300.0,56.50K,1.16%,FUEVN100,0.3612,0.0,0.3,-0.2,133677.1904,133514.368,133944.3209,133458.3978,0.11%
2024-03-27,22100.0,22080.0,22250.0,22060.0,101.40K,0.09%,E1VFVN30,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,30840.0,30800.0,30900.0,30150.0,3.45M,1.28%,ETF,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,7300.0,7300.0,7300.0,7300.0,,-6.77%,FUEIP100,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,15280.0,15700.0,15700.0,15080.0,12.60K,0.13%,FUEMAV30,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,15780.0,15850.0,15870.0,15750.0,504.70K,1.81%,FUESSV30,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,18120.0,18150.0,18200.0,18000.0,3.70K,0.11%,FUESSV50,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
2024-03-27,21030.0,21160.0,21250.0,21010.0,1.08M,0.19%,FUESSVFL,0.7269,1.0,0.45,-0.0188,133527.08849999998,132962.2983,133547.4413,132646.82989999998,0.86%
