"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2021","18,080.0","17,920.0","18,080.0","17,920.0","32.60K","0.89%"
"11/02/2021","17,920.0","17,900.0","17,950.0","17,850.0","23.10K","0.11%"
"11/01/2021","17,900.0","17,900.0","17,960.0","17,740.0","62.10K","-0.89%"
"10/29/2021","18,060.0","18,010.0","18,060.0","17,940.0","18.30K","0.17%"
"10/28/2021","18,030.0","17,800.0","18,030.0","17,800.0","11.60K","0.90%"
"10/27/2021","17,870.0","17,490.0","17,870.0","17,490.0","27.40K","2.17%"
"10/26/2021","17,490.0","17,600.0","17,600.0","17,200.0","124.40K","0.06%"
"10/25/2021","17,480.0","17,600.0","17,600.0","17,400.0","21.60K","-0.51%"
"10/22/2021","17,570.0","17,110.0","17,610.0","17,110.0","76.00K","-0.17%"
"10/21/2021","17,600.0","17,700.0","17,700.0","17,600.0","8.70K","-0.28%"
"10/20/2021","17,650.0","17,730.0","17,830.0","17,600.0","327.60K","-0.62%"
"10/19/2021","17,760.0","17,680.0","17,760.0","17,680.0","30.00K","-0.06%"
"10/18/2021","17,770.0","17,730.0","17,850.0","17,710.0","41.00K","0.23%"
"10/15/2021","17,730.0","17,790.0","17,810.0","17,670.0","16.20K","0.23%"
"10/14/2021","17,690.0","17,700.0","17,780.0","17,600.0","67.70K","-0.17%"
"10/13/2021","17,720.0","17,760.0","17,850.0","17,600.0","119.70K","-0.23%"
"10/12/2021","17,760.0","17,790.0","17,790.0","17,600.0","86.30K","-0.22%"
"10/11/2021","17,800.0","17,400.0","17,800.0","17,400.0","72.20K","2.30%"
"10/08/2021","17,400.0","17,160.0","17,400.0","17,160.0","53.00K","1.16%"
"10/07/2021","17,200.0","17,200.0","17,200.0","16,780.0","107.90K","0.00%"
"10/06/2021","17,200.0","17,100.0","17,200.0","16,990.0","124.90K","0.23%"
"10/05/2021","17,160.0","17,000.0","17,160.0","16,930.0","156.80K","0.94%"
"10/04/2021","17,000.0","16,900.0","17,000.0","16,900.0","39.60K","-0.06%"
"10/01/2021","17,010.0","17,140.0","17,140.0","16,860.0","119.60K","-0.76%"
"09/30/2021","17,140.0","17,100.0","17,140.0","17,010.0","118.00K","0.23%"
"09/29/2021","17,100.0","17,040.0","17,100.0","16,850.0","87.80K","0.00%"
"09/28/2021","17,100.0","16,990.0","17,100.0","16,710.0","63.70K","0.29%"
"09/27/2021","17,050.0","17,200.0","17,200.0","16,800.0","75.80K","-0.87%"
"09/24/2021","17,200.0","17,090.0","17,200.0","16,890.0","60.70K","0.29%"
"09/23/2021","17,150.0","17,000.0","17,150.0","16,930.0","23.00K","0.29%"
"09/22/2021","17,100.0","17,000.0","17,100.0","16,860.0","18.30K","0.29%"
